"available","availableText","brand","ean","endedDate","image","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,,"Midwest, United States","285071347310",,"6999.99","US $6,999.99","kicksncardz",,"","2003-2004 UD Exquisite Collection Kobe Bryant Base #15 BGS 9 MINT Tough Grade 🔥","Sports Trading Card",,"https://www.ebay.com/itm/285071347310",,,"Ships from United States",,
,,,,,,"Midwest, United States","275569621596",,"6999.99","US $6,999.99","kicksncardz",,"","2020 Contenders Justin Herbert Auto Rookie SP Variation /250 BGS 9.5 GEM MINT ⚡️","Sports Trading Card",,"https://www.ebay.com/itm/275569621596",,,"Ships from United States",,
,,,,,,"Pittsburgh, Pennsylvania, United States","265206748160",,"6995.11","US $6,995.11","futbol18",,"","🔥 2018-19 Donruss Trae Young Rated Rookie Purple Laser 06/15 PSA 10 🔥 Label*","Sports Trading Card",,"https://www.ebay.com/itm/265206748160",,,"Ships from United States",,
,,,,,,"jakarta, Indonesia","314194649560",,"7000","US $7,000.00","nickharmant_0",,"","LEBRON JAMES 2005 ULTIMATE COLLECTION SIGNATURE AUTO 48/56 PSA RARE ITEM",,"Does not apply","https://www.ebay.com/itm/314194649560",,,"17 watchers",,
,,,,,,"Henderson, Nevada, United States","354098996609",,"7000","US $7,000.00","aokiscardhouse",,"","Rafael Nadal 2005 Ace Authentic #7 Signature Series Auto /100 PSA 9 POP 2!","Sports Trading Card",,"https://www.ebay.com/itm/354098996609",,,"Ships from United States","21 watchers",
,,,,,,"Worcester, Massachusetts, United States","224342654114",,"6999.99","US $6,999.99","nichnor-10",,"","2020 OBSIDIAN DRAFT JUSTIN HERBERT #2/10 GREEN ELECTRIC RPA AUTO RC PSA 10 POP 1","Sports Trading Card",,"https://www.ebay.com/itm/224342654114",,,"Ships from United States","17 watchers",
,,,,,,"Overland Park, Kansas, United States","403997958159",,"6950","US $6,950.00","allstarcardsinc",,"","1938 Goudey Heads-Up #274 Joe Dimaggio BVG 3.5 Tough! HOF PSA Cross? 4116","Sports Trading Card",,"https://www.ebay.com/itm/403997958159",,,"Ships from United States","9 watchers",
,,,,,,"Hong Kong, Hong Kong","203543339648",,"6999","US $6,999.00","ysey_63",,"","2019-20 Panini EPL Prizm Soccer RC Max Aarons Black 1/1 PSA 10 Norwich","Sports Trading Card",,"https://www.ebay.com/itm/203543339648",,,"8 watchers",,
,,,,,,"Lafayette, Indiana, United States","314232830448",,"7000","US $7,000.00","tyclash_collectables",,"","1928 Star Player Candy Ted Lyons (only 4 Known to Be Graded) Very Rare","Sports Trading Card",,"https://www.ebay.com/itm/314232830448",,,"Returns accepted","Ships from United States",
,,,,,,"Nepean, Ontario, Canada","185579296400",,"7000","US $7,000.00","qcards",,"","1982 Wrestling All Stars Series A # 2 Hulk Hogan Rookie Card PSA 7 NM","Sports Trading Card",,"https://www.ebay.com/itm/185579296400",,,"6 watchers",,
,,,,,,"WINNIPEG, Canada","295043502447",,"6850","US $6,850.00","rookies87",,"","2018 Bowman CHROME (#CRA-RD) Rafael DEVERS ATOMIC REFRACTOR AUTO /100 RC BGS 10!","Sports Trading Card",,"https://www.ebay.com/itm/295043502447",,,"5 watchers",,
,,,,,,"Post Falls, Idaho, United States","143989352327",,"7000","US $7,000.00","grimmreapercards",,"","2019 Zion Williamson Contenders Rookie Ticket Cracked ICE A 3/23 BGS 9.5!!!!","Sports Trading Card","Does not apply","https://www.ebay.com/itm/143989352327",,,"Ships from United States",,
,,,,,,"Phoenix, Maryland, United States","225260110044",,"7000","US $7,000.00","cards24-7-365",,"","1998 DONRUSS ELITE FUTURE HANK AARON JOSE CRUZ JR BACK TO FUTURE AUTO /1500 PSA","Sports Trading Card",,"https://www.ebay.com/itm/225260110044",,,"Ships from United States",,
,,,,,,"Fort Smith, Arkansas, United States","295305622878",,"7000","US $7,000.00","raide5001",,"","Ke'Bryan Hayes Bowman Chrome Gold Refractor Rookie Auto /50 SGC!!!","Sports Trading Card",,"https://www.ebay.com/itm/295305622878",,,"Ships from United States",,
